instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant5400 glasgowbiasedthreads36v1 glasgowbiasedthreads36v2 glasgowbiasedconstant5400threads36v1 glasgowbiasedconstant5400threads36v2 glasgowbiasedconstant5400triggeredthreads36v1 glasgowbiasedconstant5400triggeredthreads36v2 glasgowbiasedrestartsconstant5400triggeredmpih5x2t18 glasgowbiasedrestartsconstant5400triggeredmpih10x2t18 glasgowrandomrestartsconstant5400triggeredmpih5x2t18 glasgowbiasedrestartsconstant5400triggerednr32mpih5x2t18 glasgowbiasedtimer100 glasgowbiasedtimer100triggeredthreads36v1 glasgowbiasedtimer100triggeredthreads36v2 glasgowbiasedtimer100triggeredthreads36mpih5x2t18 glasgowbiasedtimer100triggeredthreads36mpih10x2t18 glasgowbiasedtimer100triggeredthreads36mpih20x2t18
E.11 1 0 1 1 1 1 2 1 1 1 1 2 2 2 2 3 2 0 0 0 0 1 3 2 0 0 0
B.03 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 0 0 0 1 1 1 0 0 0
B.18 1 1 2 2 2 2 2 2 2 2 2 37 38 37 37 37 37 0 0 0 0 2 37 37 0 0 0
C.03 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0
A.18 1 1 2 2 2 2 2 2 2 2 2 4 6 2 2 2 4 0 0 0 0 2 10 14 0 0 0
F.15 1 1 1 1 1 1 1 1 1 1 1 6 3 1 3 3 3 0 0 0 0 1 4 4 0 0 0
A.19 1 1 1 1 1 1 1 1 1 1 1 3 1 5 1 1 5 0 0 0 0 1 3 3 0 0 0
C.12 1 1 2 2 2 2 2 2 2 2 2 38 37 37 38 37 37 0 0 0 0 2 37 37 0 0 0
B.05 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 3 0 0 0 0 1 1 1 0 0 0
A.13 1 1 1 1 1 1 1 1 1 1 1 5 1 4 3 2 1 0 0 0 0 1 4 4 0 0 0
A.05 1 1 2 2 2 2 2 2 2 2 2 10 3 8 10 2 4 0 0 0 0 2 6 8 0 0 0
F.01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 0 0 0 0 1 3 3 0 0 0
E.20 1 0 1 1 1 1 2 1 1 1 1 2 2 1 2 2 2 0 0 0 0 1 3 3 0 0 0
B.13 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 0 0 0 0 1 2 1 0 0 0
A.14 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 4 0 0 0 0 1 4 5 0 0 0
B.04 1 1 1 1 1 1 1 1 1 1 1 3 1 4 1 2 1 0 0 0 0 1 2 4 0 0 0
C.13 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 0 0 0 0 1 1 1 0 0 0
F.07 1 1 4 4 4 4 4 4 4 4 4 97 109 87 87 87 109 0 0 0 0 4 88 109 0 0 0
E.13 1 0 1 1 1 1 2 1 1 1 1 2 2 3 2 2 2 0 0 0 0 1 2 2 0 0 0
E.14 1 0 1 1 1 1 2 1 1 1 1 3 1 3 2 2 2 0 0 0 0 1 1 2 0 0 0
A.11 1 1 1 1 1 1 1 1 1 1 1 1 3 2 3 1 6 0 0 0 0 1 3 4 0 0 0
si6_r005_m400.07 7 1 1068 12131 12286 3264 1048 1990 1080 1317 3264 17008 16097 14037 14485 21985 25195 0 0 0 0 3264 20869 22954 0 0 0
si6_r005_m400.00 7 1 884 3709 3804 1548 19347 3704 694 2036 1548 10700 8158 10610 11570 12197 11710 0 0 0 0 1548 13816 5481 0 0 0
si6_r005_m400.01 7 1 597 2017 1845 682 3939 1534 725 1192 682 9894 13079 9359 8731 10120 10143 0 0 0 0 682 9772 9743 0 0 0
si6_r005_m400.02 7 1 211 1534 470 265 366 470 265 265 265 1049 1080 1073 1179 1195 910 0 0 0 0 265 903 1256 0 0 0
si6_r005_m400.04 7 1 211 1448 391 405 1342 391 405 405 405 3061 4231 4117 2162 3321 3476 0 0 0 0 405 4052 2737 0 0 0
si6_r005_m400.05 7 1 9 5676 1297 6 146 2548 6 6 6 687 1043 1538 898 1419 735 0 0 0 0 6 1263 1089 0 0 0
si6_r005_m400.09 7 1 66 667 448 65 51 448 65 65 65 481 818 458 452 455 801 0 0 0 0 65 765 826 0 0 0
si6_r005_m400.03 7 1 123 4431 2801 20 287 3530 20 20 20 1351 1221 1421 1729 1121 1516 0 0 0 0 20 1268 1318 0 0 0
si6_r005_m400.06 7 1 76 1141 797 49 68 724 49 49 49 666 1066 940 1170 1417 915 0 0 0 0 49 787 1592 0 0 0
si6_r005_m400.08 7 1 1198 2549 1789 1090 13175 1298 1098 4422 1090 12485 14126 9601 13411 12743 13763 0 0 0 0 1090 10785 11924 0 0 0
si6_m4Dr6_m625.04 6 1 2 2 2 2 2 2 2 2 2 2 4 2 2 2 4 0 0 0 0 2 4 4 0 0 0
si6_m4Dr6_m625.01 6 1 2 2 2 2 2 2 2 2 2 4 4 2 2 2 2 0 0 0 0 2 2 2 0 0 0
si6_m4Dr6_m625.09 6 1 4 4 4 4 4 4 4 4 4 4 16 4 4 4 4 0 0 0 0 4 4 4 0 0 0
si6_m4Dr6_m625.07 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 0 0 6 6 6 0 0 0
si6_m4Dr6_m625.00 6 1 2 2 2 2 2 2 2 2 2 7 10 4 2 4 5 0 0 0 0 2 4 3 0 0 0
si6_m4Dr6_m625.08 6 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 8 0 0 0 0 4 4 8 0 0 0
si6_m4Dr6_m625.05 6 1 3 3 3 3 3 3 3 3 3 6 3 4 6 9 3 0 0 0 0 3 3 3 0 0 0
si6_m4Dr6_m625.06 6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 4 1 0 0 0
si6_m4Dr6_m625.02 6 1 2 2 2 2 2 2 2 2 2 8 2 12 6 4 7 0 0 0 0 2 12 12 0 0 0
si6_m4Dr6_m625.03 6 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 2 4 2 0 0 0
si4_m4Dr2_m625.09 6 1 19 19 19 19 19 19 19 19 19 42 19 57 19 19 60 0 0 0 0 19 51 41 0 0 0
si4_m4Dr2_m625.04 6 1 66 16 70 66 183 70 66 66 66 967 847 532 933 987 959 0 0 0 0 66 464 890 0 0 0
si4_m4Dr2_m625.02 6 1 6 6 6 6 6 6 6 6 6 6 6 6 6 18 6 0 0 0 0 6 12 6 0 0 0
si4_m4Dr2_m625.07 6 1 16 16 16 16 16 16 16 16 16 16 57 16 16 16 32 0 0 0 0 16 16 32 0 0 0
si4_m4Dr2_m625.00 6 1 11 10 10 10 17 10 10 10 10 66 61 76 97 61 61 0 0 0 0 10 61 79 0 0 0
si4_m4Dr2_m625.08 6 1 11 11 11 11 11 11 11 11 11 11 12 15 15 11 34 0 0 0 0 11 11 11 0 0 0
si4_m4Dr2_m625.01 6 1 9 9 9 9 9 9 9 9 9 27 9 27 27 36 9 0 0 0 0 9 9 9 0 0 0
si4_m4Dr2_m625.06 6 1 14 14 14 14 14 14 14 14 14 49 49 49 62 49 62 0 0 0 0 14 49 49 0 0 0
si4_m4Dr2_m625.03 6 1 13 13 13 13 13 13 13 13 13 48 48 48 60 72 62 0 0 0 0 13 87 60 0 0 0
si4_m4Dr2_m625.05 6 1 10 10 10 10 10 10 10 10 10 10 20 10 10 10 10 0 0 0 0 10 25 37 0 0 0
si2_r001_m600.00 7 1 158 1484 327 305 1469 327 305 305 305 846 482 779 1239 746 560 0 0 0 0 305 1197 773 0 0 0
si2_r001_m600.06 7 1 3342 2759 2128 4883 139362 5083 4583 15292 4883 3157 3412 5689 3973 3530 3896 0 0 0 0 4686 3729 3900 0 0 0
si2_r001_m600.04 7 1 775 4012 1779 326 1495 2953 326 326 326 4792 2692 5062 4585 1942 2649 0 0 0 0 326 4483 2210 0 0 0
si2_r001_m600.07 7 1 637 942 47 1044 24473 47 984 2112 1044 2862 3671 5631 3115 2865 6887 0 0 0 0 1044 3841 4875 0 0 0
si2_r001_m600.02 7 1 89 205 116 43 1513 116 43 43 43 729 1380 776 418 497 583 0 0 0 0 43 579 613 0 0 0
si2_r001_m600.08 7 1 1677 4109 5103 2672 31751 2918 1696 5196 2672 14911 14704 11817 16186 10502 17377 0 0 0 0 2672 15966 12766 0 0 0
si2_r001_m600.03 7 1 1976 179009 179679 1040 143642 1152 2891 7295 1040 16417 17640 27119 20057 21115 25883 0 0 0 0 1040 34206 22693 0 0 0
si2_r001_m600.01 7 1 197 98 224 224 12994 224 224 224 224 2917 3476 2107 3125 3440 2034 0 0 0 0 224 3257 3831 0 0 0
si2_r001_m600.05 7 1 2596 589 1784 2760 259052 2383 2860 7959 2760 1734 1713 2863 1528 1460 3045 0 0 0 0 2760 6105 5402 0 0 0
si2_r001_m600.09 7 1 179 8504 5151 154 680 7572 154 154 154 765 718 749 1177 924 890 0 0 0 0 154 455 1031 0 0 0
