instance family sequentialixinduced3 sequentialixinducedrestarts5
si2_b03_m200.00 3 23 22
si4_r005_m600.00 7 7465 9296
si4_r005_m600.02 7 5627 3785
si4_r005_m600.08 7 56059 63301
si4_r005_m600.05 7 16055 14754
si4_r005_m600.07 7 10411 8603
si4_r005_m600.06 7 16974 29508
si4_r005_m600.01 7 3871 5665
si4_r005_m600.04 7 22275 19311
si4_r005_m600.03 7 3609 7387
si4_r005_m600.09 7 1272 1566
si4_b09_m400.05 3 115 184
si4_b09_m400.03 3 98 158
si4_b09_m400.00 3 132 185
si4_b09_m400.07 3 97 153
si4_b09_m400.01 3 184 97
si4_b09_m400.06 3 128 179
si4_b09_m400.04 3 103 150
si4_b09_m400.02 3 97 180
si4_b09_m400.08 3 148 180
si4_b09_m400.09 3 99 122
si4_b06m_m400.06 4 81 149
si4_b06m_m400.03 4 162 132
si4_b06m_m400.01 4 153 82
si4_b06m_m400.08 4 121 82
si4_b06m_m400.05 4 101 145
si4_b06m_m400.07 4 137 139
si4_b06m_m400.00 4 98 153
si4_b06m_m400.04 4 150 135
si4_b06m_m400.09 4 138 109
si4_b06m_m400.02 4 135 139
si2_m4Dr2_m625.05 6 263 198
si2_m4Dr2_m625.00 6 175 254
si2_m4Dr2_m625.08 6 243 246
si2_m4Dr2_m625.09 6 148 235
si2_m4Dr2_m625.06 6 180 210
si2_m4Dr2_m625.04 6 168 218
si2_m4Dr2_m625.01 6 239 218
si2_m4Dr2_m625.03 6 177 282
si2_m4Dr2_m625.02 6 288 221
si2_m4Dr2_m625.07 6 203 249
si2_r005_m200.02 7 53 45
si2_r005_m200.01 7 9747 10852
si2_r005_m200.03 7 167 317
si2_r005_m200.05 7 4457 3218
si2_r005_m200.08 7 624 531
si2_r005_m200.04 7 451 579
si2_r005_m200.09 7 114 96
si2_r005_m200.06 7 122 132
si2_r005_m200.00 7 1159 2010
si2_r005_m200.07 7 141 179
si4_b03m_m400.03 4 130 120
si4_b03m_m400.09 4 126 93
si4_b03m_m400.08 4 132 120
si4_b03m_m400.04 4 118 136
si4_b03m_m400.00 4 86 114
si4_b03m_m400.01 4 141 98
si4_b03m_m400.07 4 124 114
si4_b03m_m400.02 4 121 74
si4_b03m_m400.06 4 121 142
si4_b03m_m400.05 4 116 123
si2_r01_m600.01 7 118414 NaN
si2_r01_m600.06 7 437417 NaN
si2_r01_m600.09 7 NaN NaN
si2_r01_m600.08 7 NaN NaN
si2_r01_m600.04 7 407974 NaN
si2_r01_m600.02 7 469612 NaN
si2_r01_m600.00 7 293085 NaN
si2_r01_m600.07 7 146028 NaN
si2_r01_m600.03 7 268953 NaN
si2_r01_m600.05 7 328396 NaN
si4_m4Dr6_m256.01 6 58 31
si4_m4Dr6_m256.00 6 54 54
si4_m4Dr6_m256.05 6 60 61
si4_m4Dr6_m256.08 6 46 56
si4_m4Dr6_m256.03 6 38 67
si4_m4Dr6_m256.06 6 53 32
si4_m4Dr6_m256.09 6 59 59
si4_m4Dr6_m256.07 6 78 66
si4_m4Dr6_m256.02 6 67 62
si4_m4Dr6_m256.04 6 68 55
si2_b03m_m400.02 4 78 70
si2_b03m_m400.00 4 86 62
si2_b03m_m400.01 4 110 90
si2_b03m_m400.05 4 85 78
si2_b03m_m400.08 4 51 61
si2_b03m_m400.07 4 67 52
si2_b03m_m400.09 4 107 86
si2_b03m_m400.03 4 53 89
si2_b03m_m400.04 4 52 90
si2_b03m_m400.06 4 100 103
si2_b03m_m200.05 4 23 22
si2_b03m_m200.03 4 19 19
si2_b03m_m200.00 4 26 12
si2_b03m_m200.08 4 25 17
si2_b03m_m200.06 4 24 12
si2_b03m_m200.02 4 20 19
si2_b03m_m200.09 4 20 12
