instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
si2_b03m_m800.02 4 1 2 2
si2_b03m_m800.09 4 1 1 1
si2_b03m_m800.04 4 1 1 1
si2_b03m_m800.06 4 1 1 1
si2_b03m_m800.05 4 1 1 1
si2_b03m_m800.01 4 1 1 1
si2_b03m_m800.08 4 1 1 1
si2_b03m_m800.07 4 1 1 1
si2_b03m_m800.00 4 1 1 1
si2_r001_m200.06 7 1 0 0
si2_r001_m200.01 7 1 0 0
si2_r001_m200.02 7 1 0 0
si2_r001_m200.07 7 1 0 0
si2_r001_m200.04 7 1 0 0
si2_r001_m200.05 7 1 1 10
si2_r001_m200.09 7 1 33 2
si2_r001_m200.03 7 1 0 0
si2_r001_m200.00 7 1 0 0
si2_r001_m200.08 7 1 0 0
si6_b03m_m800.01 4 1 11 11
si6_b03m_m800.08 4 1 14 11
si6_b03m_m800.03 4 1 11 11
si6_b03m_m800.00 4 1 14 11
si6_b03m_m800.04 4 1 11 11
si6_b03m_m800.05 4 1 15 11
si6_b03m_m800.07 4 1 11 12
si6_b03m_m800.06 4 1 11 10
si6_b03m_m800.09 4 1 11 11
si6_b03m_m800.02 4 1 11 11
si4_r005_m200.00 7 1 6 6
si4_r005_m200.08 7 1 0 0
si4_r005_m200.02 7 1 3 4
si4_r005_m200.05 7 1 0 0
si4_r005_m200.06 7 1 7 2
si4_r005_m200.04 7 1 1 1
si4_r005_m200.07 7 1 1 2
si4_r005_m200.09 7 1 2 3
si4_r005_m200.01 7 1 0 1
si4_r005_m200.03 7 1 3 5
si6_b09m_m400.03 4 1 1 2
si6_b09m_m400.07 4 1 1 1
si6_b09m_m400.00 4 1 1 1
si6_b09m_m400.04 4 1 2 2
si6_b09m_m400.06 4 1 1 1
si6_b09m_m400.08 4 1 1 1
si6_b09m_m400.02 4 1 1 1
si6_b09m_m400.05 4 1 2 1
si6_b09m_m400.09 4 1 1 1
si6_b09m_m400.01 4 1 1 1
si2_b09_m200.08 3 1 0 0
si2_b09_m200.01 3 1 0 0
si2_b09_m200.06 3 1 0 0
si2_b09_m200.05 3 1 0 0
si2_b09_m200.00 3 1 0 0
si2_b09_m200.02 3 1 0 0
si2_b09_m200.03 3 1 0 0
si2_b09_m200.04 3 1 0 0
si2_b09_m200.09 3 1 0 0
si2_b09_m200.07 3 1 0 0
si6_r01_m600.02 7 1 1211 1801
si6_r01_m600.06 7 1 15 343
si6_r01_m600.09 7 1 4555 5394
si6_r01_m600.08 7 1 41275 55948
si6_r01_m600.05 7 1 75 666
si6_r01_m600.07 7 1 4704 4110
si6_r01_m600.03 7 1 1678 3476
si6_r01_m600.00 7 1 863 972
si6_r01_m600.01 7 1 334 303
si6_r01_m600.04 7 1 11478 8843
si2_b06_m200.02 3 1 0 0
si2_b06_m200.00 3 1 0 0
si2_b06_m200.01 3 1 0 0
si2_b06_m200.06 3 1 0 0
si2_b06_m200.09 3 1 0 0
si2_b06_m200.07 3 1 0 0
si2_b06_m200.04 3 1 0 0
si2_b06_m200.08 3 1 0 0
si2_b06_m200.03 3 1 0 0
si2_b06_m200.05 3 1 0 0
si6_m4Dr2_m1296.05 6 1 35 36
si6_m4Dr2_m1296.09 6 1 36 36
si6_m4Dr2_m1296.01 6 1 36 36
si6_m4Dr2_m1296.06 6 1 35 35
si6_m4Dr2_m1296.07 6 1 36 36
si6_m4Dr2_m1296.03 6 1 36 37
si6_m4Dr2_m1296.04 6 1 35 36
si6_m4Dr2_m1296.00 6 1 34 35
si6_m4Dr2_m1296.08 6 1 36 36
si6_m4Dr2_m1296.02 6 1 35 35
si2_b09m_m800.09 4 1 1 1
si2_b09m_m800.07 4 1 20 1
si2_b09m_m800.00 4 1 2 1
si2_b09m_m800.04 4 1 1 1
si2_b09m_m800.02 4 1 1 1
si2_b09m_m800.05 4 1 1 1
si2_b09m_m800.03 4 1 1 1
si2_b09m_m800.08 4 1 1 1
si2_b09m_m800.06 4 1 1 1
si2_b09m_m800.01 4 1 1 1
si4_b03_m400.01 3 1 0 0
si4_b03_m400.02 3 1 0 0
si4_b03_m400.05 3 1 0 0
si4_b03_m400.07 3 1 0 0
si4_b03_m400.06 3 1 0 0
si4_b03_m400.00 3 1 0 0
si4_b03_m400.03 3 1 0 0
si4_b03_m400.04 3 1 0 0
si4_b03_m400.09 3 1 0 0
si4_b03_m400.08 3 1 0 0
si2_b03_m200.05 3 1 0 0
si2_b03_m200.09 3 1 0 0
si2_b03_m200.07 3 1 0 0
si2_b03_m200.01 3 1 0 0
si2_b03_m200.08 3 1 0 0
si2_b03_m200.02 3 1 0 0
si2_b03_m200.04 3 1 0 0
si2_b03_m200.03 3 1 0 0
si2_b03_m200.06 3 1 0 0
si2_b03_m200.00 3 1 0 0
si4_r005_m600.00 7 1 587 988
si4_r005_m600.02 7 1 1052 517
si4_r005_m600.08 7 1 4509 5178
si4_r005_m600.05 7 1 1467 1342
si4_r005_m600.07 7 1 904 798
si4_r005_m600.06 7 1 1860 1797
si4_r005_m600.01 7 1 212 124
si4_r005_m600.04 7 1 1963 1532
si4_r005_m600.03 7 1 256 216
si4_r005_m600.09 7 1 95 189
si4_b09_m400.05 3 1 0 0
si4_b09_m400.03 3 1 0 0
si4_b09_m400.00 3 1 0 0
si4_b09_m400.07 3 1 0 0
si4_b09_m400.01 3 1 0 1
si4_b09_m400.06 3 1 0 0
si4_b09_m400.04 3 1 0 0
si4_b09_m400.02 3 1 0 0
si4_b09_m400.08 3 1 0 0
si4_b09_m400.09 3 1 0 0
si4_b06m_m400.06 4 1 0 0
si4_b06m_m400.03 4 1 0 0
si4_b06m_m400.01 4 1 0 0
si4_b06m_m400.08 4 1 0 0
si4_b06m_m400.05 4 1 0 0
si4_b06m_m400.07 4 1 0 0
si4_b06m_m400.00 4 1 0 0
si4_b06m_m400.04 4 1 0 0
si4_b06m_m400.09 4 1 0 0
si4_b06m_m400.02 4 1 1 0
si2_m4Dr2_m625.05 6 1 0 1
si2_m4Dr2_m625.00 6 1 5 6
si2_m4Dr2_m625.08 6 1 0 0
si2_m4Dr2_m625.09 6 1 0 0
si2_m4Dr2_m625.06 6 1 0 0
si2_m4Dr2_m625.04 6 1 0 0
si2_m4Dr2_m625.01 6 1 1 1
si2_m4Dr2_m625.03 6 1 1 1
si2_m4Dr2_m625.02 6 1 0 0
si2_m4Dr2_m625.07 6 1 0 1
si2_r005_m200.02 7 1 0 0
si2_r005_m200.01 7 1 1143 1027
si2_r005_m200.03 7 1 13 16
si2_r005_m200.05 7 1 21 29
si2_r005_m200.08 7 1 36 83
si2_r005_m200.04 7 1 45 44
si2_r005_m200.09 7 1 7 11
si2_r005_m200.06 7 1 4 10
si2_r005_m200.00 7 1 56 27
si2_r005_m200.07 7 1 4 6
si4_b03m_m400.03 4 1 0 0
si4_b03m_m400.09 4 1 0 0
si4_b03m_m400.08 4 1 0 0
si4_b03m_m400.04 4 1 0 0
si4_b03m_m400.00 4 1 0 0
si4_b03m_m400.01 4 1 0 0
si4_b03m_m400.07 4 1 0 0
si4_b03m_m400.02 4 1 0 0
si4_b03m_m400.06 4 1 0 0
si4_b03m_m400.05 4 1 0 0
si2_r01_m600.01 7 1 13505 14205
si2_r01_m600.06 7 1 46003 29998
si2_r01_m600.09 7 1 117854 130823
si2_r01_m600.08 7 1 193051 88341
si2_r01_m600.04 7 1 52458 48758
si2_r01_m600.02 7 1 61618 63122
si2_r01_m600.00 7 1 39366 47870
si2_r01_m600.07 7 1 22233 21011
si2_r01_m600.03 7 1 33833 30872
si2_r01_m600.05 7 1 31101 29059
si4_m4Dr6_m256.01 6 1 0 0
si4_m4Dr6_m256.00 6 1 0 0
si4_m4Dr6_m256.05 6 1 0 0
si4_m4Dr6_m256.08 6 1 0 0
si4_m4Dr6_m256.03 6 1 0 0
si4_m4Dr6_m256.06 6 1 0 0
si4_m4Dr6_m256.09 6 1 0 0
si4_m4Dr6_m256.07 6 1 0 1
si4_m4Dr6_m256.02 6 1 0 0
si4_m4Dr6_m256.04 6 1 0 0
si2_b03m_m400.02 4 1 0 0
si2_b03m_m400.00 4 1 0 0
si2_b03m_m400.01 4 1 0 0
si2_b03m_m400.05 4 1 0 0
si2_b03m_m400.08 4 1 0 0
si2_b03m_m400.07 4 1 0 0
si2_b03m_m400.09 4 1 0 0
si2_b03m_m400.03 4 1 0 0
si2_b03m_m400.04 4 1 0 0
si2_b03m_m400.06 4 1 0 0
si2_b03m_m200.05 4 1 0 0
si2_b03m_m200.03 4 1 0 0
si2_b03m_m200.00 4 1 0 0
si2_b03m_m200.08 4 1 0 0
si2_b03m_m200.06 4 1 0 0
si2_b03m_m200.02 4 1 0 0
si2_b03m_m200.09 4 1 0 0
si2_b03m_m200.04 4 1 0 0
si2_b03m_m200.01 4 1 0 0
si2_b03m_m200.07 4 1 0 0
si4_r001_m200.04 7 1 0 0
si4_r001_m200.07 7 1 0 0
si4_r001_m200.00 7 1 0 0
si4_r001_m200.01 7 1 0 0
si4_r001_m200.03 7 1 0 0
si4_r001_m200.06 7 1 0 0
si4_r001_m200.05 7 1 0 0
si4_r001_m200.08 7 1 0 0
si4_r001_m200.09 7 1 0 0
si4_r001_m200.02 7 1 0 0
si2_m4D_m256.08 5 1 0 0
si2_m4D_m256.03 5 1 0 0
si2_m4D_m256.02 5 1 0 0
si2_m4D_m256.06 5 1 0 0
si2_m4D_m256.04 5 1 0 0
si2_m4D_m256.07 5 1 0 0
si2_m4D_m256.01 5 1 0 0
si2_m4D_m256.09 5 1 0 0
si2_m4D_m256.00 5 1 0 0
si2_m4D_m256.05 5 1 0 0
si6_r01_m400.04 7 1 106 208
si6_r01_m400.08 7 1 429 473
si6_r01_m400.07 7 1 2 2
si6_r01_m400.06 7 1 170 80
si6_r01_m400.05 7 1 33 174
si6_r01_m400.02 7 1 24 23
si6_r01_m400.00 7 1 167 85
si6_r01_m400.03 7 1 660 481
si6_r01_m400.01 7 1 489 500
si6_r01_m400.09 7 1 1203 1799
si2_m4Dr4_m625.07 6 1 0 0
si2_m4Dr4_m625.02 6 1 0 0
si2_m4Dr4_m625.03 6 1 1 0
si2_m4Dr4_m625.00 6 1 0 0
si2_m4Dr4_m625.05 6 1 0 0
si2_m4Dr4_m625.06 6 1 1 1
si2_m4Dr4_m625.09 6 1 160 134
si2_m4Dr4_m625.01 6 1 1 1
si2_m4Dr4_m625.08 6 1 24 9
si2_m4Dr4_m625.04 6 1 2 3
si4_r01_m400.01 7 1 273 426
si4_r01_m400.08 7 1 13 17
si4_r01_m400.02 7 1 261 569
si4_r01_m400.03 7 1 951 864
si4_r01_m400.07 7 1 203 8
si4_r01_m400.06 7 1 31 26
si4_r01_m400.04 7 1 8739 2369
si4_r01_m400.00 7 1 4836 6784
si4_r01_m400.05 7 1 695 576
si4_r01_m400.09 7 1 4300 5060
si2_b09m_m400.09 4 1 0 0
si2_b09m_m400.03 4 1 0 0
si2_b09m_m400.01 4 1 0 0
si2_b09m_m400.08 4 1 0 0
si2_b09m_m400.05 4 1 0 0
si2_b09m_m400.06 4 1 0 0
si2_b09m_m400.00 4 1 0 0
si2_b09m_m400.02 4 1 0 0
si2_b09m_m400.04 4 1 0 0
si2_b09m_m400.07 4 1 0 0
si2_b09_m800.07 3 1 1 2
si2_b09_m800.04 3 1 1 1
si2_b09_m800.05 3 1 1 1
si2_b09_m800.00 3 1 1 1
si2_b09_m800.02 3 1 1 1
si2_b09_m800.01 3 1 1 1
si2_b09_m800.08 3 1 1 1
si2_b09_m800.09 3 1 1 1
si2_b09_m800.03 3 1 1 1
si2_b09_m800.06 3 1 1 1
si6_b03_m400.04 3 1 1 2
si6_b03_m400.09 3 1 1 1
si6_b03_m400.02 3 1 1 1
si6_b03_m400.06 3 1 1 1
si6_b03_m400.05 3 1 1 1
si6_b03_m400.08 3 1 1 1
si6_b03_m400.01 3 1 1 1
si6_b03_m400.07 3 1 1 1
si6_b03_m400.03 3 1 1 2
si6_b03_m400.00 3 1 2 1
si2_r005_m600.03 7 1 1755 1404
si2_r005_m600.00 7 1 31262 30002
si2_r005_m600.06 7 1 3067 3529
si2_r005_m600.01 7 1 21958 24233
si2_r005_m600.04 7 1 2008 1533
si2_r005_m600.09 7 1 333 354
si2_r005_m600.05 7 1 24769 25834
si2_r005_m600.02 7 1 6270 7306
si2_r005_m600.08 7 1 4247 3612
si2_r005_m600.07 7 1 3210 2957
si4_r01_m600.05 7 1 1925 1990
si4_r01_m600.02 7 1 4922 3416
si4_r01_m600.03 7 1 14198 13013
si4_r01_m600.07 7 1 4929 4619
si4_r01_m600.08 7 1 7012 9864
si4_r01_m600.06 7 1 18001 16073
si4_r01_m600.01 7 1 407 587
si4_r01_m600.04 7 1 518 230
si4_r01_m600.00 7 1 58 75
si4_r01_m600.09 7 1 19005 22327
si2_b09_m400.04 3 1 0 0
si2_b09_m400.08 3 1 0 0
si2_b09_m400.05 3 1 0 0
si2_b09_m400.01 3 1 0 0
si2_b09_m400.03 3 1 0 0
si2_b09_m400.02 3 1 0 0
si2_b09_m400.07 3 1 0 0
si2_b09_m400.09 3 1 0 0
si2_b09_m400.06 3 1 0 0
si2_b09_m400.00 3 1 0 0
si4_b06_m200.06 3 1 0 0
si4_b06_m200.03 3 1 0 0
si4_b06_m200.02 3 1 0 0
si4_b06_m200.07 3 1 0 0
si4_b06_m200.05 3 1 0 0
si4_b06_m200.08 3 1 0 0
si4_b06_m200.00 3 1 0 0
si4_b06_m200.04 3 1 0 0
si4_b06_m200.01 3 1 0 0
si4_b06_m200.09 3 1 0 0
si4_r005_m400.06 7 1 18 14
si4_r005_m400.03 7 1 31 21
si4_r005_m400.07 7 1 110 128
si4_r005_m400.01 7 1 15 12
si4_r005_m400.04 7 1 174 184
si4_r005_m400.00 7 1 33 26
si4_r005_m400.09 7 1 13 4
si4_r005_m400.05 7 1 23 65
si4_r005_m400.08 7 1 1 2
si4_r005_m400.02 7 1 244 227
si4_m4Dr2_m1296.07 6 1 16 15
si4_m4Dr2_m1296.00 6 1 15 15
si4_m4Dr2_m1296.05 6 1 15 15
si4_m4Dr2_m1296.04 6 1 16 15
si4_m4Dr2_m1296.08 6 1 43 38
si4_m4Dr2_m1296.01 6 1 15 15
si4_m4Dr2_m1296.06 6 1 16 16
si4_m4Dr2_m1296.02 6 1 15 15
si4_m4Dr2_m1296.03 6 1 15 15
si4_m4Dr2_m1296.09 6 1 15 15
si6_b09_m800.03 3 1 12 12
si6_b09_m800.09 3 1 11 12
si6_b09_m800.07 3 1 12 12
si6_b09_m800.05 3 1 12 12
si6_b09_m800.04 3 1 12 12
si6_b09_m800.01 3 1 12 14
si6_b09_m800.00 3 1 12 12
si6_b09_m800.02 3 1 12 12
si6_b09_m800.06 3 1 12 12
si6_b09_m800.08 3 1 12 12
