instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si2_r001_m600.07 7 1 26 37 1 40 689 1 25 55 45 45 41
si2_r001_m600.02 7 1 46 55 5 1 123 3 1 1 35 35 43
si2_r001_m600.08 7 1 47 108 136 74 841 81 43 138 56 62 62
si2_r001_m600.03 7 1 48 4814 4815 25 3471 34 75 187 77 66 63
si2_r001_m600.01 7 1 6 2 6 7 334 4 6 5 39 40 41
si2_r001_m600.05 7 1 65 16 44 68 6230 98 92 192 36 36 39
si2_r001_m600.09 7 1 8 253 140 7 22 197 4 4 36 36 37
si2_m4Dr2_m256.09 6 1 0 0 0 0 0 0 0 0 7 7 9
si2_m4Dr2_m256.03 6 1 1 4 0 1 1 0 0 0 7 7 8
si2_m4Dr2_m256.04 6 1 5 0 4 2 205 9 4 4 7 7 8
si2_m4Dr2_m256.07 6 1 0 0 0 0 0 0 0 0 7 7 9
si2_m4Dr2_m256.00 6 1 0 0 0 0 0 0 0 0 7 7 8
si2_m4Dr2_m256.06 6 1 7 2 4 1 97 3 1 1 8 8 9
si2_m4Dr2_m256.08 6 1 0 0 0 0 0 0 0 0 7 7 8
si2_m4Dr2_m256.05 6 1 0 0 0 0 0 0 0 0 9 7 8
si2_m4Dr2_m256.01 6 1 0 0 0 0 0 0 0 0 7 7 8
si2_m4Dr2_m256.02 6 1 0 0 0 0 0 0 0 0 7 7 9
si6_r001_m600.09 7 1 7 8 6 8 13 6 6 6 123 123 122
si6_r001_m600.00 7 1 7 10 10 7 8 10 7 7 114 112 114
si6_r001_m600.07 7 1 7 11 12 7 7 9 7 6 116 116 115
si6_r001_m600.03 7 1 7 7 7 7 7 7 6 7 124 125 123
si6_r001_m600.01 7 1 7 7 11 7 7 6 6 7 124 125 123
si6_r001_m600.06 7 1 7 7 7 7 6 6 6 7 124 126 123
si6_r001_m600.08 7 1 8 11 10 7 6 12 8 7 124 124 122
si6_r001_m600.02 7 1 7 6 6 6 6 6 8 6 121 121 120
si6_r001_m600.04 7 1 6 6 7 6 6 6 6 6 124 125 122
si6_r001_m600.05 7 1 7 7 7 7 7 6 6 6 122 122 121
si2_m4Dr2_m1296.05 6 1 3 3 3 3 3 4 4 6 158 161 160
si2_m4Dr2_m1296.09 6 1 3 4 4 3 3 5 5 3 158 159 158
si2_m4Dr2_m1296.02 6 1 102 43 97 137 98 109 146 123 152 154 151
si2_m4Dr2_m1296.07 6 1 3 3 3 3 3 3 3 3 162 159 159
si2_m4Dr2_m1296.00 6 1 4 3 3 6 3 3 3 3 159 159 160
si2_m4Dr2_m1296.06 6 1 3 3 3 3 3 3 4 3 161 159 160
