instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si4_m4Dr2_m625.03 6 1 13 13 13 13 13 13 13 13 48 60 48
si4_m4Dr2_m625.05 6 1 10 10 10 10 10 10 10 10 10 40 20
si2_r001_m600.00 7 1 158 1484 327 305 1469 327 305 305 632 625 482
si2_r001_m600.06 7 1 3342 2759 2128 4883 139362 5083 4583 15292 5785 10083 3412
si2_r001_m600.04 7 1 775 4012 1779 326 1495 2953 326 326 2528 6899 2692
si2_r001_m600.07 7 1 637 942 47 1044 24473 47 984 2112 5985 5914 3671
si2_r001_m600.02 7 1 89 205 116 43 1513 116 43 43 851 797 1380
si2_r001_m600.08 7 1 1677 4109 5103 2672 31751 2918 1696 5196 12335 17668 14704
si2_r001_m600.03 7 1 1976 179009 179679 1040 143642 1152 2891 7295 30701 24748 17640
si2_r001_m600.01 7 1 197 98 224 224 12994 224 224 224 3104 3725 3476
si2_r001_m600.05 7 1 2596 589 1784 2760 259052 2383 2860 7959 2227 2057 1713
si2_r001_m600.09 7 1 179 8504 5151 154 680 7572 154 154 805 839 718
si2_m4Dr2_m256.09 6 1 8 5 17 9 8 17 9 9 44 43 36
si2_m4Dr2_m256.03 6 1 80 336 37 77 163 37 77 77 315 333 489
si2_m4Dr2_m256.04 6 1 551 20 525 306 23180 525 306 306 1666 797 903
si2_m4Dr2_m256.07 6 1 7 8 7 8 7 7 8 8 22 35 25
si2_m4Dr2_m256.00 6 1 23 13 25 14 120 25 14 14 65 92 82
si2_m4Dr2_m256.06 6 1 714 323 489 302 15448 489 302 302 2518 3428 3887
si2_m4Dr2_m256.08 6 1 7 7 7 7 7 7 7 7 9 22 13
si2_m4Dr2_m256.05 6 1 3 3 3 3 3 3 3 3 12 14 11
si2_m4Dr2_m256.01 6 1 19 12 12 19 47 12 19 19 69 59 61
si2_m4Dr2_m256.02 6 1 21 3 5 4 149 5 4 4 54 20 23
si6_r001_m600.09 7 1 2 2 2 2 2 2 2 2 39 37 37
si6_r001_m600.00 7 1 16 55 57 16 35 57 16 16 510 519 505
si6_r001_m600.07 7 1 8 77 47 11 12 47 11 11 256 256 259
si6_r001_m600.03 7 1 6 5 7 5 14 7 5 5 122 122 122
si6_r001_m600.01 7 1 9 6 5 9 21 5 9 9 167 167 167
si6_r001_m600.06 7 1 6 12 6 10 9 6 10 10 158 161 158
si6_r001_m600.08 7 1 4 52 51 13 4 51 13 13 167 165 165
si6_r001_m600.02 7 1 3 3 3 3 3 3 3 3 38 38 40
si6_r001_m600.04 7 1 6 5 5 6 7 5 6 6 76 76 76
si6_r001_m600.05 7 1 3 3 3 3 3 3 3 3 38 38 38
si2_m4Dr2_m1296.05 6 1 35 34 34 35 35 34 35 35 69 179 70
si2_m4Dr2_m1296.09 6 1 28 29 29 27 32 29 27 27 254 295 275
si2_m4Dr2_m1296.02 6 1 590 309 615 876 950 615 789 689 435 464 608
si2_m4Dr2_m1296.07 6 1 9 9 9 9 9 9 9 9 9 9 9
si2_m4Dr2_m1296.00 6 1 28 28 28 28 28 28 28 28 28 28 28
si2_m4Dr2_m1296.06 6 1 25 25 25 25 25 25 25 25 88 60 60
si2_m4Dr2_m1296.08 6 1 30 30 30 30 30 30 30 30 65 179 65
si2_m4Dr2_m1296.01 6 1 82 20 35 82 147 35 82 82 986 935 932
si2_m4Dr2_m1296.03 6 1 22 22 22 22 22 22 22 22 69 22 22
si2_m4Dr2_m1296.04 6 1 30 30 30 30 30 30 30 30 51 30 38
si4_b06m_m800.08 4 1 21 21 21 21 21 21 21 21 21 42 26
si4_b06m_m800.00 4 1 11 11 11 11 11 11 11 11 24 25 33
si4_b06m_m800.06 4 1 18 18 18 18 18 18 18 18 24 49 37
si4_b06m_m800.05 4 1 14 14 14 14 14 14 14 14 14 14 14
si4_b06m_m800.04 4 1 18 18 18 18 18 18 18 18 18 18 18
si4_b06m_m800.09 4 1 23 23 23 23 23 23 23 23 23 23 23
si4_b06m_m800.01 4 1 12 12 12 12 12 12 12 12 12 32 12
si4_b06m_m800.07 4 1 17 17 17 17 17 17 17 17 17 73 17
si4_b06m_m800.03 4 1 20 20 20 20 20 20 20 20 20 20 23
si4_b06m_m800.02 4 1 11 11 11 11 11 11 11 11 11 11 11
si6_m4Dr2_m625.08 6 1 10 10 10 10 10 10 10 10 96 80 80
si6_m4Dr2_m625.09 6 1 12 12 12 12 12 12 12 12 36 26 36
si6_m4Dr2_m625.05 6 1 4 4 4 4 4 4 4 4 45 51 39
si6_m4Dr2_m625.01 6 1 11 11 11 11 11 11 11 11 11 11 11
si6_m4Dr2_m625.06 6 1 10 10 10 10 10 10 10 10 20 10 10
si6_m4Dr2_m625.00 6 1 20 20 20 20 20 20 20 20 20 20 20
si6_m4Dr2_m625.03 6 1 14 14 14 14 14 14 14 14 14 14 14
si6_m4Dr2_m625.02 6 1 5 5 5 5 5 5 5 5 40 40 40
si6_m4Dr2_m625.07 6 1 5 5 5 5 5 5 5 5 5 7 5
si6_m4Dr2_m625.04 6 1 2 2 2 2 2 2 2 2 2 2 2
si2_m4D_m1296.01 5 1 985 32 626 297 601 626 297 297 295 283 346
si2_m4D_m1296.08 5 1 3 3 3 3 3 3 3 3 67 66 72
si2_m4D_m1296.06 5 1 9 57 4 154 9 4 154 154 485 474 334
si2_m4D_m1296.05 5 1 2 2 2 9 2 2 9 9 133 126 95
si2_m4D_m1296.09 5 1 5 3 5 3 6 5 3 3 111 130 124
si2_m4D_m1296.03 5 1 24 4 4 83 31 4 83 83 464 463 397
