instance family mcsplitdown2 mcsplitdownbiasedrestarts2
si2_r001_m200.08 7 16105 35455
si6_b03m_m800.01 4 20 15
si6_b03m_m800.08 4 18 17
si6_b03m_m800.03 4 69 94
si6_b03m_m800.00 4 22 18
si6_b03m_m800.04 4 18 28
si6_b03m_m800.05 4 20 21
si6_b03m_m800.07 4 16 17
si6_b03m_m800.06 4 18 22
si6_b03m_m800.09 4 18 22
si6_b03m_m800.02 4 15 18
si4_r005_m200.00 7 13 4
si4_r005_m200.08 7 2 4
si4_r005_m200.02 7 31 16
si4_r005_m200.05 7 2 2
si4_r005_m200.06 7 1 1
si4_r005_m200.04 7 3 5
si4_r005_m200.07 7 2 1
si4_r005_m200.09 7 8 10
si4_r005_m200.01 7 1 3
si4_r005_m200.03 7 11 11
si6_b09m_m400.03 4 4 9
si6_b09m_m400.07 4 4 4
si6_b09m_m400.00 4 5 6
si6_b09m_m400.04 4 5 7
si6_b09m_m400.06 4 6 4
si6_b09m_m400.08 4 5 4
si6_b09m_m400.02 4 6 5
si6_b09m_m400.05 4 4 7
si6_b09m_m400.09 4 4 5
si6_b09m_m400.01 4 4 5
si2_b09_m200.08 3 0 0
si2_b09_m200.01 3 0 0
si2_b09_m200.06 3 0 0
si2_b09_m200.05 3 0 0
si2_b09_m200.00 3 0 0
si2_b09_m200.02 3 0 0
si2_b09_m200.03 3 0 0
si2_b09_m200.04 3 0 0
si2_b09_m200.09 3 0 0
si2_b09_m200.07 3 0 0
si6_r01_m600.02 7 148 143
si6_r01_m600.06 7 10 31
si6_r01_m600.09 7 387 426
si6_r01_m600.08 7 3509 5575
si6_r01_m600.05 7 16 48
si6_r01_m600.07 7 290 315
si6_r01_m600.03 7 180 217
si6_r01_m600.00 7 102 66
si6_r01_m600.01 7 42 31
si6_r01_m600.04 7 625 536
si2_b06_m200.02 3 0 0
si2_b06_m200.00 3 0 1
si2_b06_m200.01 3 1 0
si2_b06_m200.06 3 0 0
si2_b06_m200.09 3 0 0
si2_b06_m200.07 3 0 0
si2_b06_m200.04 3 0 0
si2_b06_m200.08 3 0 0
si2_b06_m200.03 3 0 0
si2_b06_m200.05 3 0 0
si6_m4Dr2_m1296.05 6 50 45
si6_m4Dr2_m1296.09 6 40 54
si6_m4Dr2_m1296.01 6 49 44
si6_m4Dr2_m1296.06 6 63 63
si6_m4Dr2_m1296.07 6 41 62
si6_m4Dr2_m1296.03 6 49 57
si6_m4Dr2_m1296.04 6 57 56
si6_m4Dr2_m1296.00 6 44 65
si6_m4Dr2_m1296.08 6 58 57
si6_m4Dr2_m1296.02 6 54 46
si2_b09m_m800.09 4 10 10
si2_b09m_m800.07 4 34322 11
si2_b09m_m800.00 4 9 11
si2_b09m_m800.04 4 8 9
si2_b09m_m800.02 4 7 9
si2_b09m_m800.05 4 9 12
si2_b09m_m800.03 4 13 11
si2_b09m_m800.08 4 7 8
si2_b09m_m800.06 4 13 14
si2_b09m_m800.01 4 10 11
si4_b03_m400.01 3 2 3
si4_b03_m400.02 3 3 3
si4_b03_m400.05 3 3 4
si4_b03_m400.07 3 2 4
si4_b03_m400.06 3 4 3
si4_b03_m400.00 3 2 3
si4_b03_m400.03 3 4 3
si4_b03_m400.04 3 4 4
si4_b03_m400.09 3 4 3
si4_b03_m400.08 3 3 3
si2_b03_m200.05 3 0 1
si2_b03_m200.09 3 0 1
si2_b03_m200.07 3 0 0
si2_b03_m200.01 3 0 0
si2_b03_m200.08 3 0 0
si2_b03_m200.02 3 0 0
si2_b03_m200.04 3 0 0
si2_b03_m200.03 3 0 1
si2_b03_m200.06 3 0 0
si2_b03_m200.00 3 0 0
si4_r005_m600.00 7 114 233
si4_r005_m600.02 7 100 151
si4_r005_m600.08 7 824 326
si4_r005_m600.05 7 290 400
si4_r005_m600.07 7 128 134
si4_r005_m600.06 7 291 605
si4_r005_m600.01 7 71 114
si4_r005_m600.04 7 349 303
si4_r005_m600.03 7 54 79
si4_r005_m600.09 7 21 13
si4_b09_m400.05 3 5 4
si4_b09_m400.03 3 5 3
si4_b09_m400.00 3 3 6
si4_b09_m400.07 3 3 4
si4_b09_m400.01 3 5 5
si4_b09_m400.06 3 5 5
si4_b09_m400.04 3 3 6
si4_b09_m400.02 3 3 4
si4_b09_m400.08 3 4 3
si4_b09_m400.09 3 4 4
si4_b06m_m400.06 4 2 5
si4_b06m_m400.03 4 3 5
si4_b06m_m400.01 4 6 5
si4_b06m_m400.08 4 2 4
si4_b06m_m400.05 4 2 2
si4_b06m_m400.07 4 3 5
si4_b06m_m400.00 4 4 3
si4_b06m_m400.04 4 3 4
si4_b06m_m400.09 4 4 4
si4_b06m_m400.02 4 3 4
si2_m4Dr2_m625.05 6 13 14
si2_m4Dr2_m625.00 6 6 5
si2_m4Dr2_m625.08 6 3 7
si2_m4Dr2_m625.09 6 7 8
si2_m4Dr2_m625.06 6 15 14
si2_m4Dr2_m625.04 6 21 30
si2_m4Dr2_m625.01 6 8 12
si2_m4Dr2_m625.03 6 8 13
si2_m4Dr2_m625.02 6 11 6
si2_m4Dr2_m625.07 6 6 5
si2_r005_m200.02 7 0 0
si2_r005_m200.01 7 4286 5263
si2_r005_m200.03 7 25 31
si2_r005_m200.05 7 411 340
si2_r005_m200.08 7 143 35
si2_r005_m200.04 7 84 81
si2_r005_m200.09 7 60 63
si2_r005_m200.06 7 13 10
si2_r005_m200.00 7 97 116
si2_r005_m200.07 7 59 87
si4_b03m_m400.03 4 3 3
si4_b03m_m400.09 4 4 4
si4_b03m_m400.08 4 6 6
si4_b03m_m400.04 4 4 5
si4_b03m_m400.00 4 3 3
si4_b03m_m400.01 4 4 4
si4_b03m_m400.07 4 6 5
si4_b03m_m400.02 4 3 4
si4_b03m_m400.06 4 2 3
si4_b03m_m400.05 4 3 4
si2_r01_m600.01 7 4480 6067
si2_r01_m600.06 7 15403 8948
si2_r01_m600.09 7 34640 31578
si2_r01_m600.08 7 76253 70412
si2_r01_m600.04 7 13694 12943
si2_r01_m600.02 7 17718 21934
si2_r01_m600.00 7 8545 12789
si2_r01_m600.07 7 6633 4837
si2_r01_m600.03 7 8306 10333
si2_r01_m600.05 7 11511 11843
si4_m4Dr6_m256.01 6 1 1
si4_m4Dr6_m256.00 6 6 9
si4_m4Dr6_m256.05 6 7 10
si4_m4Dr6_m256.08 6 3 4
si4_m4Dr6_m256.03 6 1 2
si4_m4Dr6_m256.06 6 3 3
si4_m4Dr6_m256.09 6 2 2
si4_m4Dr6_m256.07 6 13 6
si4_m4Dr6_m256.02 6 1 2
si4_m4Dr6_m256.04 6 4 3
si2_b03m_m400.02 4 7 9
si2_b03m_m400.00 4 2 2
si2_b03m_m400.01 4 2 3
si2_b03m_m400.05 4 6 4
si2_b03m_m400.08 4 2 2
si2_b03m_m400.07 4 2 2
si2_b03m_m400.09 4 1 2
si2_b03m_m400.03 4 2 2
si2_b03m_m400.04 4 2 2
si2_b03m_m400.06 4 2 2
si2_b03m_m200.05 4 0 0
si2_b03m_m200.03 4 0 0
si2_b03m_m200.00 4 0 0
si2_b03m_m200.08 4 0 1
si2_b03m_m200.06 4 0 0
si2_b03m_m200.02 4 0 0
si2_b03m_m200.09 4 1 0
si2_b03m_m200.04 4 0 0
si2_b03m_m200.01 4 0 0
si2_b03m_m200.07 4 0 0
si4_r001_m200.04 7 12 2
si4_r001_m200.07 7 6 3
si4_r001_m200.00 7 44 17
si4_r001_m200.01 7 1 1
si4_r001_m200.03 7 243 253
si4_r001_m200.06 7 3 2
si4_r001_m200.05 7 35 44
si4_r001_m200.08 7 1 2
si4_r001_m200.09 7 303 101
si4_r001_m200.02 7 21 10
si2_m4D_m256.08 5 1 2
si2_m4D_m256.03 5 0 1
si2_m4D_m256.02 5 1 0
si2_m4D_m256.06 5 0 1
si2_m4D_m256.04 5 0 1
si2_m4D_m256.07 5 1 1
si2_m4D_m256.01 5 1 0
