instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
si6_m4D_m1296.04 5 1 121 118
si6_m4D_m1296.06 5 1 482 399
si6_m4D_m1296.01 5 1 10829 3027
si6_m4D_m1296.03 5 1 12320 8409
si6_r001_m200.05 7 1 13 7
si6_r001_m200.09 7 1 6 9
si6_r001_m200.07 7 1 3 3
si6_r001_m200.02 7 1 2 2
si6_r001_m200.01 7 1 7 7
si6_r001_m200.00 7 1 2 2
si6_r001_m200.04 7 1 10 9
si6_r001_m200.06 7 1 8 8
si6_r001_m200.08 7 1 8 8
si6_r001_m200.03 7 1 6 6
si4_b06_m400.06 3 1 3 3
si4_b06_m400.07 3 1 3 3
si4_b06_m400.09 3 1 3 3
si4_b06_m400.01 3 1 3 3
si4_b06_m400.04 3 1 3 3
si4_b06_m400.03 3 1 3 3
si4_b06_m400.00 3 1 3 3
si4_b06_m400.05 3 1 3 3
si4_b06_m400.08 3 1 3 3
si4_b06_m400.02 3 1 3 3
si2_m4Dr6_m256.06 6 1 42 40
si2_m4Dr6_m256.05 6 1 13 13
si2_m4Dr6_m256.09 6 1 7 7
si2_m4Dr6_m256.00 6 1 18 20
si2_m4Dr6_m256.07 6 1 9 9
si2_m4Dr6_m256.04 6 1 10 15
si2_m4Dr6_m256.02 6 1 22 21
si2_m4Dr6_m256.01 6 1 23 22
si2_m4Dr6_m256.08 6 1 81 62
si2_m4Dr6_m256.03 6 1 11 11
si6_r01_m200.04 7 1 22 46
si6_r01_m200.08 7 1 306 190
si6_r01_m200.02 7 1 719 751
si6_r01_m200.09 7 1 171 584
si6_r01_m200.07 7 1 417 313
si6_r01_m200.00 7 1 1490 1609
si6_r01_m200.01 7 1 85 112
si6_r01_m200.03 7 1 3192 2904
si6_r01_m200.05 7 1 817 784
si6_r01_m200.06 7 1 608 1187
si2_b03m_m800.03 4 1 134 60
si2_b03m_m800.02 4 1 54 54
si2_b03m_m800.09 4 1 51 51
si2_b03m_m800.04 4 1 40 40
si2_b03m_m800.06 4 1 61 61
si2_b03m_m800.05 4 1 52 51
si2_b03m_m800.01 4 1 38 38
si2_b03m_m800.08 4 1 48 48
si2_b03m_m800.07 4 1 36 36
si2_b03m_m800.00 4 1 46 46
si2_r001_m200.06 7 1 708 679
si2_r001_m200.01 7 1 67 81
si2_r001_m200.02 7 1 102 111
si2_r001_m200.07 7 1 22 19
si2_r001_m200.04 7 1 51 37
si2_r001_m200.05 7 1 289 5628
si2_r001_m200.09 7 1 14917 1496
si2_r001_m200.03 7 1 20 20
si2_r001_m200.00 7 1 36 33
si2_r001_m200.08 7 1 52 63
si6_b03m_m800.01 4 1 35 35
si6_b03m_m800.08 4 1 21 21
si6_b03m_m800.03 4 1 26 26
si6_b03m_m800.00 4 1 29 29
si6_b03m_m800.04 4 1 44 44
si6_b03m_m800.05 4 1 33 33
si6_b03m_m800.07 4 1 32 32
si6_b03m_m800.06 4 1 47 47
si6_b03m_m800.09 4 1 35 35
si6_b03m_m800.02 4 1 33 33
si4_r005_m200.00 7 1 731 716
si4_r005_m200.08 7 1 50 31
si4_r005_m200.02 7 1 531 626
si4_r005_m200.05 7 1 75 22
si4_r005_m200.06 7 1 98 93
si4_r005_m200.04 7 1 130 140
si4_r005_m200.07 7 1 205 259
si4_r005_m200.09 7 1 282 381
si4_r005_m200.01 7 1 40 123
si4_r005_m200.03 7 1 423 615
si6_b09m_m400.03 4 1 2 2
si6_b09m_m400.07 4 1 1 1
